article,nomen,plural,english,learned_count
der, Mann, Männer, man,0
die, Frau, Frauen, woman,0
das, Kind, Kinder, child,0
der, Junge, Jungen, boy,0
das, Mädchen, Mädchen, girl,0
die, Familie, Familien, family,0
die, Mutter, Mütter, mother,0
der, Vater, Väter, father,0
die, Eltern, -, parents,0
der, Sohn, Söhne, son,0
die, Tochter, Töchter, daughter,0
der, Bruder, Brüder, brother,0
die, Schwester, Schwestern, sister,0
der, Onkel, Onkel, uncle,0
die, Tante, Tanten, aunt,0
der, Großvater, Großväter, grandfather,0
die, Großmutter, Großmütter, grandmother,0
die, Großeltern, -, grandparents,0
der, Enkel, Enkel, grandson,0
die, Enkelin, Enkelinnen, granddaughter,0
der, Neffe, Neffen, nephew,0
die, Nichte, Nichten, niece,0
der, Cousin, Cousins, cousin (male),0
die, Cousine, Cousinen, cousin (female),0
der, Freund, Freunde, friend (male),0
die, Freundin, Freundinnen, friend (female),0
die, Bekanntschaft, Bekanntschaften, acquaintance,0
der, Nachbar, Nachbarn, neighbor (male),0
die, Nachbarin, Nachbarinnen, neighbor (female),0
der, Partner, Partner, partner (male),0
die, Partnerin, Partnerinnen, partner (female),0
die, Beziehung, Beziehungen, relationship,0
die, Hochzeit, Hochzeiten, wedding,0
die, Ehe, Ehen, marriage,0
die, Scheidung, Scheidungen, divorce,0
das, Baby, Babys, baby,0
der, Erwachsener, Erwachsene, adult (male),0
die, Erwachsene, Erwachsenen, adult (female),0
der, Jugendliche, Jugendlichen, teenager (male),0
die, Jugendliche, Jugendlichen, teenager (female),0
der, Mensch, Menschen, human/person,0
die, Leute, -, people (colloquial),0
die, Gruppe, Gruppen, group,0
die, Gemeinschaft, Gemeinschaften, community,0
die, Gesellschaft, Gesellschaften, society,0
der, Gast, Gäste, guest,0
der, Besucher, Besucher, visitor (male),0
die, Besucherin, Besucherinnen, visitor (female),0
der, Kollege, Kollegen, colleague (male),0
die, Kollegin, Kolleginnen, colleague (female),0
der, Chef, Chefs, boss (male),0
die, Chefin, Chefinnen, boss (female),0
der, Mitarbeiter, Mitarbeiter, employee (male),0
die, Mitarbeiterin, Mitarbeiterinnen, employee (female),0
der, Kunde, Kunden, customer (male),0
die, Kundin, Kundinnen, customer (female),0
der, Lehrer, Lehrer, teacher (male),0
die, Lehrerin, Lehrerinnen, teacher (female),0
der, Schüler, Schüler, student/pupil (male),0
die, Schülerin, Schülerinnen, student/pupil (female),0
der, Student, Studenten, student (university) (male),0
die, Studentin, Studentinnen, student (university) (female),0
der, Professor, Professoren, professor (male),0
die, Professorin, Professorinnen, professor (female),0
die, Schule, Schulen, school,0
die, Klasse, Klassen, class,0
das, Klassenzimmer, Klassenzimmer, classroom,0
der, Kurs, Kurse, course,0
der, Unterricht, Unterrichte, lesson/class,0
die, Aufgabe, Aufgaben, assignment/task,0
die, Antwort, Antworten, answer,0
die, Frage, Fragen, question,0
die, Prüfung, Prüfungen, test/exam,0
die, Hausaufgabe, Hausaufgaben, homework,0
die, Note, Noten, grade/mark,0
das, Zeugnis, Zeugnisse, report card,0
die, Bibliothek, Bibliotheken, library,0
das, Buch, Bücher, book,0
das, Heft, Hefte, notebook,0
das, Blatt, Blätter, sheet (paper/leaf),0
der, Stift, Stifte, pen/pencil,0
der, Bleistift, Bleistifte, pencil,0
der, Kugelschreiber, Kugelschreiber, ballpoint pen,0
das, Lineal, Lineale, ruler,0
der, Radiergummi, Radiergummis, eraser,0
die, Tafel, Tafeln, blackboard,0
die, Kreide, Kreiden, chalk,0
das, Wörterbuch, Wörterbücher, dictionary,0
das, Schuljahr, Schuljahre, school year,0
die, Ausbildung, Ausbildungen, vocational training,0
das, Praktikum, Praktika, internship,0
der, Azubi, Azubis, apprentice,0
die, Universität, Universitäten, university,0
die, Hochschule, Hochschulen, college,0
die, Mensa, Mensen, cafeteria (university),0
das, Zimmer, Zimmer, room,0
die, Wohnung, Wohnungen, apartment,0
das, Haus, Häuser, house,0
die, Tür, Türen, door,0
das, Fenster, Fenster, window,0
der, Tisch, Tische, table,0
der, Stuhl, Stühle, chair,0
der, Schrank, Schränke, cupboard/wardrobe,0
das, Bett, Betten, bed,0
der, Sessel, Sessel, armchair,0
das, Sofa, Sofas, sofa,0
die, Lampe, Lampen, lamp,0
der, Teppich, Teppiche, carpet/rug,0
die, Wand, Wände, wall,0
der, Boden, Böden, floor,0
das, Dach, Dächer, roof,0
die, Decke, Decken, ceiling/blanket,0
die, Küche, Küchen, kitchen,0
das, Bad, Bäder, bathroom,0
die, Toilette, Toiletten, toilet,0
die, Dusche, Duschen, shower,0
die, Garage, Garagen, garage,0
der, Garten, Gärten, garden,0
der, Balkon, Balkone, balcony,0
die, Terrasse, Terrassen, terrace,0
der, Keller, Keller, basement/cellar,0
der, Aufzug, Aufzüge, elevator/lift,0
die, Treppe, Treppen, stairs,0
der, Flur, Flure, hallway/corridor,0
das, Regal, Regale, shelf,0
die, Kommode, Kommoden, chest of drawers,0
das, Kissen, Kissen, pillow/cushion,0
